movies_title,release_year,imdb_rating,age_rating,stream_provider,runtime,genre_list,movie_prod_country,movie_url
Maharaja,2024,8.5,Age rating not found,"Apple TV+,Bookmyshow,Netflix",2h 30min,"Action & Adventure, Drama, Crime, Mystery & Thriller",India,https://www.justwatch.com/in/movie/maharaja-2024
Kalki 2898 AD,2024,8.4,UA,"Bookmyshow,Apple TV+",3h 1min,"Drama, Action & Adventure, Science-Fiction, Fantasy, Romance",India,https://www.justwatch.com/in/movie/project-k
Kill,2024,8.7,A,Apple TV+,1h 45min,"Science-Fiction, Action & Adventure, Comedy, Crime, Drama","United States, India",https://www.justwatch.com/in/movie/kill-2024
Munjya,2024,9.0,Age rating not found,"Bookmyshow,Apple TV+",2h 3min,"Drama, Comedy",India,https://www.justwatch.com/in/movie/munjha
"The Gangster, the Cop, the Devil",2019,7.3,Age rating not found,"Lionsgate Play,Apple TV+",1h 50min,"Science-Fiction, Horror, Mystery & Thriller, Drama, Fantasy",South Korea,https://www.justwatch.com/in/movie/the-gangster-the-cop-the-devil
Family Star,2024,9.2,Age rating not found,"Amazon Video,Jio Cinema,Apple TV+,Amazon Prime Video",2h 39min,"Action & Adventure, Drama, Fantasy, Science-Fiction",India,https://www.justwatch.com/in/movie/family-star
Aavesham,2024,8.6,Age rating not found,"Hotstar,Amazon Video,Apple TV+,Amazon Prime Video",2h 38min,"Animation, Action & Adventure, Science-Fiction, Fantasy, Mystery & Thriller",India,https://www.justwatch.com/in/movie/aavesham-2024
The Goat Life,2024,8.2,UA,"Apple TV+,Netflix",2h 51min,"Drama, Action & Adventure, Crime, Mystery & Thriller","India, United States",https://www.justwatch.com/in/movie/aadujeevitham
Furiosa: A Mad Max Saga,2024,8.7,A,"Amazon Video,Apple TV,Apple TV+",2h 28min,"War & Military, Drama, History","Australia, United States",https://www.justwatch.com/in/movie/furiosa
The Fall Guy,2024,8.6,UA,"Amazon Video,Apple TV,Apple TV+,Zee5",2h 6min,"Drama, Comedy","United States, Australia, Canada",https://www.justwatch.com/in/movie/the-fall-guy
