tv_title,release_year,Imdb_rating,age_rating,stream_provider,runtime,genre_list,tv_prod_country,tv_show_url
Mirzapur,2018,8.5,Age rating not found,Amazon Prime Video,50min,"Action & Adventure, Drama, Crime, Mystery & Thriller",India,https://www.justwatch.com/in/tv-show/mirzapur
House of the Dragon,2022,8.4,UA,Jio Cinema,1h 6min,"Drama, Action & Adventure, Science-Fiction, Fantasy, Romance",United States,https://www.justwatch.com/in/tv-show/house-of-the-dragon
The Boys,2019,8.7,A,Amazon Prime Video,1h 1min,"Science-Fiction, Action & Adventure, Comedy, Crime, Drama",United States,https://www.justwatch.com/in/tv-show/the-boys
Panchayat,2020,9.0,Age rating not found,Amazon Prime Video,35min,"Drama, Comedy",India,https://www.justwatch.com/in/tv-show/panchayat
Sweet Home,2020,7.3,Age rating not found,Netflix,58min,"Science-Fiction, Horror, Mystery & Thriller, Drama, Fantasy",South Korea,https://www.justwatch.com/in/tv-show/sweet-home
Game of Thrones,2011,9.2,Age rating not found,Jio Cinema,58min,"Action & Adventure, Drama, Fantasy, Science-Fiction","United States, United Kingdom",https://www.justwatch.com/in/tv-show/game-of-thrones
Demon Slayer: Kimetsu no Yaiba,2019,8.6,Age rating not found,"Crunchyroll,Crunchyroll Amazon Channel,Netflix",26min,"Animation, Action & Adventure, Science-Fiction, Fantasy, Mystery & Thriller",Japan,https://www.justwatch.com/in/tv-show/demon-slayer-kimetsu-no-yaiba
Apharan,2018,8.2,UA,"Alt Balaji,Jio Cinema",24min,"Drama, Action & Adventure, Crime, Mystery & Thriller",India,https://www.justwatch.com/in/tv-show/apharan
Shōgun,2024,8.7,A,Hotstar,59min,"War & Military, Drama, History",United States,https://www.justwatch.com/in/tv-show/shogun-2024
The Bear,2022,8.6,UA,Hotstar,34min,"Drama, Comedy",United States,https://www.justwatch.com/in/tv-show/the-bear
Evil,2019,7.8,UA,Jio Cinema,49min,"Mystery & Thriller, Crime, Drama, Horror",United States,https://www.justwatch.com/in/tv-show/evil
Kota Factory,2019,9.0,UA,Netflix,43min,"Comedy, Drama",India,https://www.justwatch.com/in/tv-show/kota-factory
Gullak,2019,9.1,Age rating not found,Sony Liv,30min,"Drama, Kids & Family, Comedy",India,https://www.justwatch.com/in/tv-show/gullak
Presumed Innocent,2024,7.8,U,"Apple TV Plus,Apple TV+",43min,"Drama, Crime, Mystery & Thriller",United States,https://www.justwatch.com/in/tv-show/presumed-innocent
Bigg Boss OTT,2021,7.8,U,Jio Cinema,1h 30min,Reality TV,India,https://www.justwatch.com/in/tv-show/bigg-boss-ott
Tribhuvan Mishra CA Topper,2024,7.1,Age rating not found,Netflix,57min,"Comedy, Crime, Drama, Mystery & Thriller",India,https://www.justwatch.com/in/tv-show/tribhuvan-mishra-ca-topper
